Target,Model,Best F1 (CV),Best Params
APSD_CU1_binary,Logistic Regression,0.6835748792270531,"OrderedDict([('C', 0.003475069192300636), ('solver', 'liblinear')])"
APSD_CU1_binary,Random Forest,0.6741687979539641,"OrderedDict([('max_depth', 12), ('min_samples_leaf', 2), ('min_samples_split', 10), ('n_estimators', 100)])"
APSD_CU1_binary,Gradient Boosting,0.6498009730207872,"OrderedDict([('learning_rate', 0.2978377128573816), ('max_depth', 6), ('n_estimators', 400), ('subsample', 0.8561383370833635)])"
APSD_CU1_binary,SVM,0.6773809523809524,"OrderedDict([('C', 2.4854261113788865), ('gamma', 0.0025715279494654703), ('kernel', 'rbf')])"
APSD_CU1_binary,KNN,0.5484593837535015,"OrderedDict([('n_neighbors', 4), ('weights', 'distance')])"
AQ_Predatoria1_binary,Logistic Regression,0.5489877769289534,"OrderedDict([('C', 0.006993358978982601), ('solver', 'liblinear')])"
AQ_Predatoria1_binary,Random Forest,0.5323789935554641,"OrderedDict([('max_depth', 15), ('min_samples_leaf', 4), ('min_samples_split', 10), ('n_estimators', 188)])"
AQ_Predatoria1_binary,Gradient Boosting,0.4674242424242424,"OrderedDict([('learning_rate', 0.15171809566296443), ('max_depth', 6), ('n_estimators', 258), ('subsample', 0.8578566310535165)])"
AQ_Predatoria1_binary,SVM,0.4177738927738927,"OrderedDict([('C', 10.0), ('gamma', 0.008430691377927341), ('kernel', 'rbf')])"
AQ_Predatoria1_binary,KNN,0.316031746031746,"OrderedDict([('n_neighbors', 5), ('weights', 'uniform')])"
ICU_Total1_binary,Logistic Regression,0.7014080656185919,"OrderedDict([('C', 0.0010340016434251915), ('solver', 'liblinear')])"
ICU_Total1_binary,Random Forest,0.7191553544494721,"OrderedDict([('max_depth', 13), ('min_samples_leaf', 5), ('min_samples_split', 4), ('n_estimators', 385)])"
ICU_Total1_binary,Gradient Boosting,0.6738235294117648,"OrderedDict([('learning_rate', 0.06239046331218498), ('max_depth', 9), ('n_estimators', 223), ('subsample', 0.9142654264057235)])"
ICU_Total1_binary,SVM,0.6569155732468426,"OrderedDict([('C', 3.877884497720508), ('gamma', 0.01023429409278201), ('kernel', 'rbf')])"
ICU_Total1_binary,KNN,0.563076923076923,"OrderedDict([('n_neighbors', 4), ('weights', 'distance')])"
