Feature,Importance
FD_E_SA,0.08961505592329182
FC_E_SA,0.05354980467850412
FFD_E_HA,0.04756221120268445
FD_E_FE,0.045479624588140116
FC_E_FE,0.040876525444298394
FD_E_AN,0.038636666096727085
FC_E_AN,0.03683005735736582
FFD_E_SA,0.03642386910939701
FD_E_DI,0.035046988197632446
FC_E_DI,0.03403092003582669
FFD_E_FE,0.03312761331315362
FFD_E_DI,0.032396797574529936
APSD_CU1_binary,0.031096330994390974
AD,0.03099035684962313
FFD_E_AN,0.02990418220228478
FC_E_HA,0.02917558269269041
ER_rabbia,0.02854238150584353
APQ_NEG,0.02699472645429739
FD_E_HA,0.02289290243127406
TOTINT,0.022873200069539617
ER_paura,0.018620710201072543
ER_tristezza,0.017565262506832588
TOTEXT,0.017073063103503053
QI,0.017072352644973532
AB,0.015695079134725648
APSD_CU,0.015591300486284647
APQ_POS,0.015365181409248798
APSD_NARCI,0.013801204595633075
RBB,0.01373518270420692
Sintomi_DOP,0.012445899662848838
Eta,0.01157954988678477
APSD_IMP,0.011365705313797898
"MAOAuVNTR_3,0",0.010300869869871762
adhd_2,0.009793202907661835
ER_disgusto,0.00877485001618318
cse_3,0.006638711036946865
"MAOAuVNTR_4,0",0.004518023167440765
cse_2,0.004316289440230516
adhd_1,0.004301762643539805
emotional_1,0.004002568392285483
farmaco_2,0.0038911552157482434
neglect_3,0.0029761040998937537
ER_felicità,0.0027006918113388913
emotional_3,0.002690770605668918
physical_2,0.002444145079633437
emotional_2,0.0019655482498722563
physical_1,0.001528420576627416
cse_4,0.001102217182983416
neglect_2,0.0010146246695875078
neglect_1,0.000875444586079302
"MAOAuVNTR_3,5",0.00020831207699894587
farmaco_22,0.0
"farmaco_2,00%",0.0
MAOAuVNTR_nan,0.0
"MAOAuVNTR_2,0",0.0
physical_3,0.0
