Target,Model_internal,Model,k_features,F1
APSD_CU1_binary,gradient_boosting,Gradient Boosting,10,0.8
APSD_CU1_binary,gradient_boosting,Gradient Boosting,14,0.6666666666666666
APSD_CU1_binary,gradient_boosting,Gradient Boosting,18,0.6363636363636365
APSD_CU1_binary,gradient_boosting,Gradient Boosting,22,0.7000000000000001
APSD_CU1_binary,gradient_boosting,Gradient Boosting,26,0.6666666666666666
APSD_CU1_binary,gradient_boosting,Gradient Boosting,30,0.6666666666666666
APSD_CU1_binary,gradient_boosting,Gradient Boosting,34,0.7000000000000001
APSD_CU1_binary,gradient_boosting,Gradient Boosting,38,0.6666666666666666
APSD_CU1_binary,gradient_boosting,Gradient Boosting,40,0.6666666666666666
APSD_CU1_binary,knn,KNN,10,0.5263157894736842
APSD_CU1_binary,knn,KNN,14,0.6
APSD_CU1_binary,knn,KNN,18,0.5263157894736842
APSD_CU1_binary,knn,KNN,22,0.5263157894736842
APSD_CU1_binary,knn,KNN,26,0.5555555555555556
APSD_CU1_binary,knn,KNN,30,0.5555555555555556
APSD_CU1_binary,knn,KNN,34,0.5263157894736842
APSD_CU1_binary,knn,KNN,38,0.6
APSD_CU1_binary,knn,KNN,40,0.6666666666666666
APSD_CU1_binary,logistic_regression,Logistic Regression,10,0.6363636363636365
APSD_CU1_binary,logistic_regression,Logistic Regression,14,0.6086956521739131
APSD_CU1_binary,logistic_regression,Logistic Regression,18,0.5833333333333334
APSD_CU1_binary,logistic_regression,Logistic Regression,22,0.7199999999999999
APSD_CU1_binary,logistic_regression,Logistic Regression,26,0.6666666666666666
APSD_CU1_binary,logistic_regression,Logistic Regression,30,0.64
APSD_CU1_binary,logistic_regression,Logistic Regression,34,0.64
APSD_CU1_binary,logistic_regression,Logistic Regression,38,0.64
APSD_CU1_binary,logistic_regression,Logistic Regression,40,0.64
APSD_CU1_binary,mlp,MLP,10,0.6
APSD_CU1_binary,mlp,MLP,14,0.6363636363636365
APSD_CU1_binary,mlp,MLP,18,0.5714285714285715
APSD_CU1_binary,mlp,MLP,22,0.6153846153846153
APSD_CU1_binary,mlp,MLP,26,0.5217391304347826
APSD_CU1_binary,mlp,MLP,30,0.6363636363636365
APSD_CU1_binary,mlp,MLP,34,0.4210526315789474
APSD_CU1_binary,mlp,MLP,38,0.5
APSD_CU1_binary,mlp,MLP,40,0.5217391304347826
APSD_CU1_binary,random_forest,Random Forest,10,0.6666666666666666
APSD_CU1_binary,random_forest,Random Forest,14,0.7272727272727272
APSD_CU1_binary,random_forest,Random Forest,18,0.6666666666666666
APSD_CU1_binary,random_forest,Random Forest,22,0.7272727272727272
APSD_CU1_binary,random_forest,Random Forest,26,0.6956521739130435
APSD_CU1_binary,random_forest,Random Forest,30,0.6956521739130435
APSD_CU1_binary,random_forest,Random Forest,34,0.7272727272727272
APSD_CU1_binary,random_forest,Random Forest,38,0.7000000000000001
APSD_CU1_binary,random_forest,Random Forest,40,0.7000000000000001
APSD_CU1_binary,svm,SVM,10,0.5882352941176471
APSD_CU1_binary,svm,SVM,14,0.6666666666666666
APSD_CU1_binary,svm,SVM,18,0.5882352941176471
APSD_CU1_binary,svm,SVM,22,0.5882352941176471
APSD_CU1_binary,svm,SVM,26,0.6666666666666666
APSD_CU1_binary,svm,SVM,30,0.631578947368421
APSD_CU1_binary,svm,SVM,34,0.631578947368421
APSD_CU1_binary,svm,SVM,38,0.631578947368421
APSD_CU1_binary,svm,SVM,40,0.631578947368421
AQ_Predatoria1_binary,gradient_boosting,Gradient Boosting,10,0.5
AQ_Predatoria1_binary,gradient_boosting,Gradient Boosting,14,0.39999999999999997
AQ_Predatoria1_binary,gradient_boosting,Gradient Boosting,18,0.39999999999999997
AQ_Predatoria1_binary,gradient_boosting,Gradient Boosting,22,0.39999999999999997
AQ_Predatoria1_binary,gradient_boosting,Gradient Boosting,26,0.39999999999999997
AQ_Predatoria1_binary,gradient_boosting,Gradient Boosting,30,0.42857142857142855
AQ_Predatoria1_binary,gradient_boosting,Gradient Boosting,34,0.42857142857142855
AQ_Predatoria1_binary,gradient_boosting,Gradient Boosting,38,0.42857142857142855
AQ_Predatoria1_binary,gradient_boosting,Gradient Boosting,40,0.42857142857142855
AQ_Predatoria1_binary,knn,KNN,10,0.18181818181818182
AQ_Predatoria1_binary,knn,KNN,14,0.42857142857142855
AQ_Predatoria1_binary,knn,KNN,18,0.36363636363636365
AQ_Predatoria1_binary,knn,KNN,22,0.4
AQ_Predatoria1_binary,knn,KNN,26,0.5
AQ_Predatoria1_binary,knn,KNN,30,0.36363636363636365
AQ_Predatoria1_binary,knn,KNN,34,0.5454545454545454
AQ_Predatoria1_binary,knn,KNN,38,0.3333333333333333
AQ_Predatoria1_binary,knn,KNN,40,0.3333333333333333
AQ_Predatoria1_binary,logistic_regression,Logistic Regression,10,0.625
AQ_Predatoria1_binary,logistic_regression,Logistic Regression,14,0.5263157894736842
AQ_Predatoria1_binary,logistic_regression,Logistic Regression,18,0.5
AQ_Predatoria1_binary,logistic_regression,Logistic Regression,22,0.5714285714285714
AQ_Predatoria1_binary,logistic_regression,Logistic Regression,26,0.5714285714285714
AQ_Predatoria1_binary,logistic_regression,Logistic Regression,30,0.5263157894736842
AQ_Predatoria1_binary,logistic_regression,Logistic Regression,34,0.5882352941176471
AQ_Predatoria1_binary,logistic_regression,Logistic Regression,38,0.5555555555555556
AQ_Predatoria1_binary,logistic_regression,Logistic Regression,40,0.5555555555555556
AQ_Predatoria1_binary,mlp,MLP,10,0.42857142857142855
AQ_Predatoria1_binary,mlp,MLP,14,0.0
AQ_Predatoria1_binary,mlp,MLP,18,0.3333333333333333
AQ_Predatoria1_binary,mlp,MLP,22,0.2
AQ_Predatoria1_binary,mlp,MLP,26,0.375
AQ_Predatoria1_binary,mlp,MLP,30,0.3846153846153846
AQ_Predatoria1_binary,mlp,MLP,34,0.5
AQ_Predatoria1_binary,mlp,MLP,38,0.0
AQ_Predatoria1_binary,mlp,MLP,40,0.375
AQ_Predatoria1_binary,random_forest,Random Forest,10,0.5
AQ_Predatoria1_binary,random_forest,Random Forest,14,0.5714285714285715
AQ_Predatoria1_binary,random_forest,Random Forest,18,0.5
AQ_Predatoria1_binary,random_forest,Random Forest,22,0.42857142857142855
AQ_Predatoria1_binary,random_forest,Random Forest,26,0.47058823529411764
AQ_Predatoria1_binary,random_forest,Random Forest,30,0.625
AQ_Predatoria1_binary,random_forest,Random Forest,34,0.625
AQ_Predatoria1_binary,random_forest,Random Forest,38,0.5714285714285715
AQ_Predatoria1_binary,random_forest,Random Forest,40,0.5333333333333333
AQ_Predatoria1_binary,svm,SVM,10,0.47058823529411764
AQ_Predatoria1_binary,svm,SVM,14,0.4444444444444445
AQ_Predatoria1_binary,svm,SVM,18,0.47058823529411764
AQ_Predatoria1_binary,svm,SVM,22,0.5882352941176471
AQ_Predatoria1_binary,svm,SVM,26,0.5882352941176471
AQ_Predatoria1_binary,svm,SVM,30,0.5
AQ_Predatoria1_binary,svm,SVM,34,0.625
AQ_Predatoria1_binary,svm,SVM,38,0.5714285714285715
AQ_Predatoria1_binary,svm,SVM,40,0.5714285714285715
ICU_Total1_binary,gradient_boosting,Gradient Boosting,10,0.5555555555555556
ICU_Total1_binary,gradient_boosting,Gradient Boosting,14,0.4705882352941177
ICU_Total1_binary,gradient_boosting,Gradient Boosting,18,0.5555555555555556
ICU_Total1_binary,gradient_boosting,Gradient Boosting,22,0.5555555555555556
ICU_Total1_binary,gradient_boosting,Gradient Boosting,26,0.5555555555555556
ICU_Total1_binary,gradient_boosting,Gradient Boosting,30,0.5555555555555556
ICU_Total1_binary,gradient_boosting,Gradient Boosting,34,0.5555555555555556
ICU_Total1_binary,gradient_boosting,Gradient Boosting,38,0.5555555555555556
ICU_Total1_binary,gradient_boosting,Gradient Boosting,40,0.4705882352941177
ICU_Total1_binary,knn,KNN,10,0.5000000000000001
ICU_Total1_binary,knn,KNN,14,0.4444444444444444
ICU_Total1_binary,knn,KNN,18,0.33333333333333326
ICU_Total1_binary,knn,KNN,22,0.5
ICU_Total1_binary,knn,KNN,26,0.4705882352941177
ICU_Total1_binary,knn,KNN,30,0.3076923076923077
ICU_Total1_binary,knn,KNN,34,0.3076923076923077
ICU_Total1_binary,knn,KNN,38,0.39999999999999997
ICU_Total1_binary,knn,KNN,40,0.39999999999999997
ICU_Total1_binary,logistic_regression,Logistic Regression,10,0.6363636363636364
ICU_Total1_binary,logistic_regression,Logistic Regression,14,0.5454545454545454
ICU_Total1_binary,logistic_regression,Logistic Regression,18,0.5454545454545454
ICU_Total1_binary,logistic_regression,Logistic Regression,22,0.5714285714285713
ICU_Total1_binary,logistic_regression,Logistic Regression,26,0.5454545454545454
ICU_Total1_binary,logistic_regression,Logistic Regression,30,0.5454545454545454
ICU_Total1_binary,logistic_regression,Logistic Regression,34,0.5454545454545454
ICU_Total1_binary,logistic_regression,Logistic Regression,38,0.5454545454545454
ICU_Total1_binary,logistic_regression,Logistic Regression,40,0.5454545454545454
ICU_Total1_binary,mlp,MLP,10,0.5000000000000001
ICU_Total1_binary,mlp,MLP,14,0.5000000000000001
ICU_Total1_binary,mlp,MLP,18,0.6666666666666667
ICU_Total1_binary,mlp,MLP,22,0.5882352941176471
ICU_Total1_binary,mlp,MLP,26,0.5454545454545454
ICU_Total1_binary,mlp,MLP,30,0.6
ICU_Total1_binary,mlp,MLP,34,0.5555555555555556
ICU_Total1_binary,mlp,MLP,38,0.5263157894736842
ICU_Total1_binary,mlp,MLP,40,0.47619047619047616
ICU_Total1_binary,random_forest,Random Forest,10,0.6
ICU_Total1_binary,random_forest,Random Forest,14,0.6
ICU_Total1_binary,random_forest,Random Forest,18,0.6363636363636364
ICU_Total1_binary,random_forest,Random Forest,22,0.6666666666666666
ICU_Total1_binary,random_forest,Random Forest,26,0.5714285714285713
ICU_Total1_binary,random_forest,Random Forest,30,0.6
ICU_Total1_binary,random_forest,Random Forest,34,0.631578947368421
ICU_Total1_binary,random_forest,Random Forest,38,0.7000000000000001
ICU_Total1_binary,random_forest,Random Forest,40,0.7000000000000001
ICU_Total1_binary,svm,SVM,10,0.45454545454545453
ICU_Total1_binary,svm,SVM,14,0.5
ICU_Total1_binary,svm,SVM,18,0.6363636363636364
ICU_Total1_binary,svm,SVM,22,0.5454545454545454
ICU_Total1_binary,svm,SVM,26,0.6666666666666666
ICU_Total1_binary,svm,SVM,30,0.6363636363636364
ICU_Total1_binary,svm,SVM,34,0.5
ICU_Total1_binary,svm,SVM,38,0.5
ICU_Total1_binary,svm,SVM,40,0.5
