Target,Model_internal,Model,Best_F1,Best_k,Parsimonious_k(±0.010)
APSD_CU1_binary,gradient_boosting,Gradient Boosting,0.8,10,10
APSD_CU1_binary,random_forest,Random Forest,0.7272727272727272,14,14
APSD_CU1_binary,logistic_regression,Logistic Regression,0.7199999999999999,22,22
APSD_CU1_binary,knn,KNN,0.6666666666666666,40,40
APSD_CU1_binary,svm,SVM,0.6666666666666666,14,14
APSD_CU1_binary,mlp,MLP,0.6363636363636365,14,14
AQ_Predatoria1_binary,logistic_regression,Logistic Regression,0.625,10,10
AQ_Predatoria1_binary,random_forest,Random Forest,0.625,30,30
AQ_Predatoria1_binary,svm,SVM,0.625,34,34
AQ_Predatoria1_binary,knn,KNN,0.5454545454545454,34,34
AQ_Predatoria1_binary,gradient_boosting,Gradient Boosting,0.5,10,10
AQ_Predatoria1_binary,mlp,MLP,0.5,34,34
ICU_Total1_binary,random_forest,Random Forest,0.7000000000000001,38,38
ICU_Total1_binary,mlp,MLP,0.6666666666666667,18,18
ICU_Total1_binary,svm,SVM,0.6666666666666666,26,26
ICU_Total1_binary,logistic_regression,Logistic Regression,0.6363636363636364,10,10
ICU_Total1_binary,gradient_boosting,Gradient Boosting,0.5555555555555556,10,10
ICU_Total1_binary,knn,KNN,0.5000000000000001,10,10
